classifier,metric,n_datasets,method_a,method_b,wilcoxon_statistic,raw_p_value,holm_p_value,significant_after_holm
decision_tree,macro_f1,20,ubag,cost,24.0,0.0042740329557000925,0.12394695571530268,False
decision_tree,macro_f1,20,obag,sbag,40.0,0.02687559167118386,0.5106362417524933,False
decision_tree,macro_f1,20,obag,cost,51.0,0.07661792341167123,1.0,False
decision_tree,macro_f1,20,sbag,cost,24.0,0.0042740329557000925,0.12394695571530268,False
decision_tree,balanced_accuracy,20,base,rus,48.0,0.058573296793890506,1.0,False
decision_tree,balanced_accuracy,20,base,enn,21.0,0.002902103448847165,0.0986715172608036,False
decision_tree,balanced_accuracy,20,base,tomek,36.0,0.031103769479907197,0.6550381385206259,False
decision_tree,balanced_accuracy,20,base,smote,26.0,0.005491205694554839,0.18120978792030967,False
decision_tree,balanced_accuracy,20,base,spe,1.0,0.00015509577279577017,0.006824214003013887,True
decision_tree,balanced_accuracy,20,base,ubag,4.0,0.00025021619831076065,0.010008647932430427,True
decision_tree,balanced_accuracy,20,base,obag,81.0,0.5731689736636651,1.0,False
decision_tree,balanced_accuracy,20,base,sbag,37.0,0.01959328479398985,0.47023883505575637,False
decision_tree,balanced_accuracy,20,base,cost,67.0,0.2598350470503199,1.0,False
decision_tree,balanced_accuracy,20,rus,enn,82.0,0.6008710115741303,1.0,False
decision_tree,balanced_accuracy,20,rus,tomek,59.0,0.1474161990774467,1.0,False
decision_tree,balanced_accuracy,20,rus,smote,93.0,0.9358520318812181,1.0,False
decision_tree,balanced_accuracy,20,rus,spe,31.0,0.01000953783388119,0.2902765971825545,False
decision_tree,balanced_accuracy,20,rus,ubag,34.0,0.014097354120504295,0.380628561253616,False
decision_tree,balanced_accuracy,20,rus,obag,57.0,0.1262141495490598,1.0,False
decision_tree,balanced_accuracy,20,rus,sbag,81.0,0.5731689736636651,1.0,False
decision_tree,balanced_accuracy,20,rus,cost,54.0,0.09895736546518985,1.0,False
decision_tree,balanced_accuracy,20,enn,tomek,27.0,0.006210256590449749,0.19251795430394222,False
decision_tree,balanced_accuracy,20,enn,smote,55.0,0.10746614473256638,1.0,False
decision_tree,balanced_accuracy,20,enn,spe,37.0,0.01959328479398985,0.47023883505575637,False
decision_tree,balanced_accuracy,20,enn,ubag,41.0,0.02977446084184663,0.6550381385206259,False
decision_tree,balanced_accuracy,20,enn,obag,31.0,0.01000953783388119,0.2902765971825545,False
decision_tree,balanced_accuracy,20,enn,sbag,55.0,0.10746614473256638,1.0,False
decision_tree,balanced_accuracy,20,enn,cost,26.0,0.005491205694554839,0.18120978792030967,False
decision_tree,balanced_accuracy,20,tomek,smote,52.0,0.08355636667535958,1.0,False
decision_tree,balanced_accuracy,20,tomek,spe,1.0,0.00015509577279577017,0.006824214003013887,True
decision_tree,balanced_accuracy,20,tomek,ubag,12.0,0.0008374789865327178,0.032661680474775995,True
decision_tree,balanced_accuracy,20,tomek,obag,65.0,0.22732992995598733,1.0,False
decision_tree,balanced_accuracy,20,tomek,sbag,94.0,0.9679000486136345,1.0,False
decision_tree,balanced_accuracy,20,tomek,cost,68.0,0.2772406362261136,1.0,False
decision_tree,balanced_accuracy,20,smote,spe,16.0,0.0014771661952373803,0.054655149223783075,False
decision_tree,balanced_accuracy,20,smote,ubag,29.0,0.007907736601400244,0.23723209804200732,False
decision_tree,balanced_accuracy,20,smote,obag,34.0,0.014097354120504295,0.380628561253616,False
decision_tree,balanced_accuracy,20,smote,sbag,79.0,0.5196142846604979,1.0,False
decision_tree,balanced_accuracy,20,smote,cost,52.0,0.08355636667535958,1.0,False
decision_tree,balanced_accuracy,20,spe,ubag,81.0,0.5731689736636651,1.0,False
decision_tree,balanced_accuracy,20,spe,obag,3.0,0.00021367000439069728,0.008760470180018588,True
decision_tree,balanced_accuracy,20,spe,sbag,16.0,0.0014771661952373803,0.054655149223783075,False
decision_tree,balanced_accuracy,20,spe,cost,0.0,0.0001318338889828333,0.005932525004227498,True
decision_tree,balanced_accuracy,20,ubag,obag,14.0,0.0011156286211977205,0.04239388760551338,True
decision_tree,balanced_accuracy,20,ubag,sbag,20.0,0.0025431154240612964,0.08900903984214538,False
decision_tree,balanced_accuracy,20,ubag,cost,1.0,0.00015509577279577017,0.006824214003013887,True
decision_tree,balanced_accuracy,20,obag,sbag,34.0,0.014097354120504295,0.380628561253616,False
decision_tree,balanced_accuracy,20,obag,cost,88.0,0.7781771795228314,1.0,False
decision_tree,balanced_accuracy,20,sbag,cost,58.0,0.13649771056887278,1.0,False
logistic_regression,auprc,13,base,rus,4.0,0.00341796875,0.10595703125,False
logistic_regression,auprc,13,base,enn,7.0,0.00927734375,0.25048828125,False
logistic_regression,auprc,13,base,tomek,29.0,0.7646484375,1.0,False
logistic_regression,auprc,13,base,smote,18.0,0.10986328125,1.0,False
logistic_regression,auprc,13,base,spe,22.0,0.20361328125,1.0,False
logistic_regression,auprc,13,base,ubag,3.0,0.00244140625,0.08544921875,False
logistic_regression,auprc,13,base,obag,10.0,0.02099609375,0.5458984375,False
logistic_regression,auprc,13,base,sbag,13.0,0.04248046875,0.97705078125,False
logistic_regression,auprc,13,base,cost,0.0,0.000244140625,0.010986328125,True
logistic_regression,auprc,13,rus,enn,23.0,0.2333984375,1.0,False
logistic_regression,auprc,13,rus,tomek,3.0,0.00244140625,0.08544921875,False
logistic_regression,auprc,13,rus,smote,3.0,0.00244140625,0.08544921875,False
logistic_regression,auprc,13,rus,spe,6.0,0.0068359375,0.19140625,False
logistic_regression,auprc,13,rus,ubag,16.0,0.0771484375,1.0,False
logistic_regression,auprc,13,rus,obag,5.0,0.0048828125,0.146484375,False
logistic_regression,auprc,13,rus,sbag,0.0,0.00048828125,0.017578125,True
logistic_regression,auprc,13,rus,cost,0.0,0.000244140625,0.010986328125,True
logistic_regression,auprc,13,enn,tomek,3.0,0.00244140625,0.08544921875,False
logistic_regression,auprc,13,enn,smote,33.0,0.67724609375,1.0,False
logistic_regression,auprc,13,enn,spe,30.0,0.5185546875,1.0,False
logistic_regression,auprc,13,enn,ubag,34.0,0.7333984375,1.0,False
logistic_regression,auprc,13,enn,obag,36.0,0.85009765625,1.0,False
logistic_regression,auprc,13,enn,sbag,36.0,0.85009765625,1.0,False
logistic_regression,auprc,13,enn,cost,0.0,0.000244140625,0.010986328125,True
logistic_regression,auprc,13,tomek,smote,15.0,0.06396484375,1.0,False
logistic_regression,auprc,13,tomek,spe,22.0,0.20361328125,1.0,False
logistic_regression,auprc,13,tomek,ubag,5.0,0.0048828125,0.146484375,False
logistic_regression,auprc,13,tomek,obag,10.0,0.02099609375,0.5458984375,False
logistic_regression,auprc,13,tomek,sbag,12.0,0.0341796875,0.8203125,False
logistic_regression,auprc,13,tomek,cost,0.0,0.000244140625,0.010986328125,True
logistic_regression,auprc,13,smote,spe,35.0,0.791015625,1.0,False
logistic_regression,auprc,13,smote,ubag,35.0,0.791015625,1.0,False
logistic_regression,auprc,13,smote,obag,36.0,0.85009765625,1.0,False
logistic_regression,auprc,13,smote,sbag,35.0,0.791015625,1.0,False
logistic_regression,auprc,13,smote,cost,0.0,0.000244140625,0.010986328125,True
logistic_regression,auprc,13,spe,ubag,25.0,0.30126953125,1.0,False
logistic_regression,auprc,13,spe,obag,31.0,0.5693359375,1.0,False
logistic_regression,auprc,13,spe,sbag,30.0,0.5185546875,1.0,False
logistic_regression,auprc,13,spe,cost,0.0,0.000244140625,0.010986328125,True
logistic_regression,auprc,13,ubag,obag,30.0,0.5185546875,1.0,False
logistic_regression,auprc,13,ubag,sbag,28.0,0.423828125,1.0,False
logistic_regression,auprc,13,ubag,cost,0.0,0.000244140625,0.010986328125,True
logistic_regression,auprc,13,obag,sbag,39.0,1.0,1.0,False
logistic_regression,auprc,13,obag,cost,0.0,0.000244140625,0.010986328125,True
logistic_regression,auprc,13,sbag,cost,0.0,0.000244140625,0.010986328125,True
logistic_regression,macro_f1,13,base,rus,20.0,0.1513671875,1.0,False
logistic_regression,macro_f1,13,base,enn,27.0,0.38037109375,1.0,False
logistic_regression,macro_f1,13,base,tomek,13.0,0.0830078125,1.0,False
logistic_regression,macro_f1,13,base,smote,33.0,0.67724609375,1.0,False
logistic_regression,macro_f1,13,base,spe,37.0,0.90966796875,1.0,False
