dataset,method,method_family,base_classifier,ensemble_size,tuning_mode,metric,mean_value,std_value,n_folds,mean_fit_seconds
SPECTF,enn,resampling,decision_tree,10,library_defaults,auprc,0.5059455530905255,0.03536478005733061,5,0.02283749580383298
SPECTF,enn,resampling,decision_tree,10,library_defaults,balanced_accuracy,0.8023261093911248,0.018234832139260054,5,0.02283749580383298
SPECTF,enn,resampling,decision_tree,10,library_defaults,macro_f1,0.7338373476523666,0.033355023425573845,5,0.02283749580383298
SPECTF,enn,resampling,logistic_regression,10,library_defaults,auprc,0.7131225224583618,0.09108991703502722,5,0.034709358215332
SPECTF,enn,resampling,logistic_regression,10,library_defaults,balanced_accuracy,0.8247203302373581,0.05026825937883457,5,0.034709358215332
SPECTF,enn,resampling,logistic_regression,10,library_defaults,macro_f1,0.7460514362082185,0.06814645715555571,5,0.034709358215332
SPECTF,obag,ensemble,decision_tree,10,library_defaults,auprc,0.8422173127990302,0.10204994237682778,5,0.11212563514709468
SPECTF,obag,ensemble,decision_tree,10,library_defaults,balanced_accuracy,0.8678513931888545,0.028677461501378978,5,0.11212563514709468
SPECTF,obag,ensemble,decision_tree,10,library_defaults,macro_f1,0.8665869191617748,0.02759373753278203,5,0.11212563514709468
SPECTF,obag,ensemble,logistic_regression,10,library_defaults,auprc,0.7608313674071538,0.1075994717848969,5,0.159739875793457
SPECTF,obag,ensemble,logistic_regression,10,library_defaults,balanced_accuracy,0.8100701754385964,0.07619972474104655,5,0.159739875793457
SPECTF,obag,ensemble,logistic_regression,10,library_defaults,macro_f1,0.7865561078642042,0.06718046120938403,5,0.159739875793457
SPECTF,rus,resampling,decision_tree,10,library_defaults,auprc,0.5726047126812533,0.11029868614348073,5,0.02008805274963374
SPECTF,rus,resampling,decision_tree,10,library_defaults,balanced_accuracy,0.8316346749226007,0.07166979515539708,5,0.02008805274963374
SPECTF,rus,resampling,decision_tree,10,library_defaults,macro_f1,0.7852422109601316,0.07208777137682242,5,0.02008805274963374
SPECTF,rus,resampling,logistic_regression,10,library_defaults,auprc,0.7279263997296146,0.16272522678366627,5,0.027483510971069304
SPECTF,rus,resampling,logistic_regression,10,library_defaults,balanced_accuracy,0.7870134158926728,0.05630621365974334,5,0.027483510971069304
SPECTF,rus,resampling,logistic_regression,10,library_defaults,macro_f1,0.7388307956347824,0.06521676301078815,5,0.027483510971069304
SPECTF,sbag,ensemble,decision_tree,10,library_defaults,auprc,0.8451556186591999,0.10486888035510565,5,0.13764343261718745
SPECTF,sbag,ensemble,decision_tree,10,library_defaults,balanced_accuracy,0.8481795665634675,0.07676683375920945,5,0.13764343261718745
SPECTF,sbag,ensemble,decision_tree,10,library_defaults,macro_f1,0.8477706006901096,0.07372674197838769,5,0.13764343261718745
SPECTF,sbag,ensemble,logistic_regression,10,library_defaults,auprc,0.7566844951798612,0.1048227737384262,5,0.28734335899353025
SPECTF,sbag,ensemble,logistic_regression,10,library_defaults,balanced_accuracy,0.7910175438596492,0.07659989624405975,5,0.28734335899353025
SPECTF,sbag,ensemble,logistic_regression,10,library_defaults,macro_f1,0.7732642025583288,0.06724160064592635,5,0.28734335899353025
SPECTF,smote,resampling,decision_tree,10,library_defaults,auprc,0.6400725895005072,0.05214001554585196,5,0.0331987380981445
SPECTF,smote,resampling,decision_tree,10,library_defaults,balanced_accuracy,0.8640577915376676,0.03887754000977261,5,0.0331987380981445
SPECTF,smote,resampling,decision_tree,10,library_defaults,macro_f1,0.834841866303722,0.02906718315027972,5,0.0331987380981445
SPECTF,smote,resampling,logistic_regression,10,library_defaults,auprc,0.7561376078748777,0.11857265748937779,5,0.04820966720581052
